"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"28",20,152.31004,46.721759,24.477269,0.016889996,7.9356002,9.3962381e-05,0.043388337,9340224.4,117674413896.507,6830.4300599766,14579839857.0868,8833695689.36536,20981032168.2434,3986328858.79407,6778996469.24599,1990409786.38917,15350573969.6732,10208654049.2201,4853200192.79051,2262932615.47858,1062035745.03082,477265080.305707,9249995258.04415,3754807287.47318,1515796239.25631,710848521.54302,321330268.007564,141117389.685727,5468128847.60717,2758438281.79821,1138967518.36144,687644155.914328,337854722.045197,160887906.376885,63633018.770402,44394567714.6956,28106309084.1025,18864087682.8258,15693894964.01,10615554450.8736
"29",31,59.082161,29.673902,18.551021,0.010716592,6.7193949,9.4062374e-05,0.02289202,380074.92,4737509633.39752,4295.81947307679,13076338.6398897,5007602.60647735,45400123.6347789,11070666.2055827,32062630.7997235,5189759.8554437,129410038.453343,301332399.737658,81906850.7686351,33653564.7141572,16858155.4395033,10311723.0495279,608540676.754635,235069068.790482,117635815.857421,63228791.8493827,33154905.3183699,19973964.9799308,1370213460.35408,684183285.22416,393690170.101433,272366162.55154,145394554.782985,79871426.2278226,28907496.7005627,63484064.881146,177733095.314093,444062693.709482,1077603223.55022,2974626555.94258
"30",34,178.38673,26.747362,15.326852,0.01508557,2.3274788,6.3370098e-05,0.038611744,6720794.5,288524518404.269,15897.812569179,41132844078.7915,46997258218.2333,48654003149.5643,13564779018.0777,14266652263.3869,23131109564.2979,25208775982.3825,13813634179.1316,6148862434.56577,4218207220.06256,6001217841.93014,12228369052.2518,7383845941.80471,3345986197.54139,1716536237.80605,1562995174.73527,2751345797.04123,5918330773.30301,2769728657.50273,1769938203.77018,951815703.179216,665507069.88105,833307876.053904,1397576188.32574,2091891580.64895,136784105446.589,76171316828.145,42410290727.9418,22679040122.2317,10479765279.3618
"31",33,136.15389,36.555468,6.030007,0.004946218,0.85174793,6.9433175e-05,0.022038651,2002151.7,17039899618.8973,3684.20289635704,1583119942.39227,671738889.114937,3022405364.82363,396050464.604774,847990264.264597,152030390.798221,2339194476.87511,1977439584.16782,674008808.408151,247445300.727197,100767116.27177,43458491.5355697,1939044286.36338,579855020.866538,200163435.56267,71732551.5701812,31977452.8524457,16611243.4146514,1263548237.60818,517942277.103323,196366796.178572,89387601.7759827,41678818.6850746,23278440.5508053,12664362.3814398,5277264196.33083,3735265596.5427,3043119301.11051,2839383990.62987,2144866534.28337
"32",35,65.760961,17.91425,6.4067843,0.016173701,5.4354227,6.1235022e-05,0.032583896,881385.58,30104900206.242,7479.24761040085,123436641.096126,43437433.0252515,560785909.79382,63658091.0540163,257848479.560382,27166015.7810595,1383214716.18916,2467493916.52398,559558565.738705,164729527.334396,64810746.502124,35991773.345606,4271316543.934,1371557178.61227,549184957.620952,260862585.339031,130693084.077129,69294902.9234582,8954996256.25525,4110271601.92899,2249100023.4892,1311820737.38483,651580568.616058,302630975.914418,119458974.201843,727659983.915197,1731887302.58462,3292584529.44481,6652909252.50684,17699859137.7906
"33",38,130.07887,45.538652,19.429187,0.015287404,3.3320359,1.0952355e-05,0.032901328,8452999.9,81253309487.9677,5008.76790315241,6222814117.82537,2458939576.86823,13105899793.3637,2065384132.11679,4456954948.86814,840172255.692074,9929767113.34697,9400929294.30356,3469964797.44852,1354724409.80877,558197127.151371,260808588.63265,8698444991.9812,3190664445.10273,1206024339.69793,488170982.08629,216075566.627732,133096417.64995,7524766943.95934,3262216773.93393,1345372634.85206,606776800.181795,222061717.79853,144544034.893951,90537683.776072,21787653488.0574,17292278450.024,15044624217.3449,13932476743.1458,13196276589.3957
"34",37,176.85905,2.6148949,19.657073,0.017318218,1.6959024,4.6397986e-05,0.010426186,7604122.1,561740372752.032,6086.11445880831,69430293247.3713,91765578433.5165,95821198320.4042,10593134953.0283,10982721637.9246,41795880593.9817,46661201738.056,32292666786.3572,4364004929.41007,1443504368.82834,4021007081.22061,28065407026.5353,25656814195.9244,3429082939.31509,692478704.811592,648155487.912,2966066817.74226,21291512488.2852,27604925622.6701,6667845966.51465,2976569887.85091,2187460055.42619,2573597656.52951,5536391090.01787,22272872722.3981,257017070001.292,110032938922.991,70186590192.3515,54684110633.9906,69819663001.4072
"35",42,113.69425,23.697267,21.986124,0.0048392342,9.5152708,2.9170081e-05,0.0072881324,8299876.5,42656202081.1437,1402.31391715676,2388487313.94981,656977291.801467,5839043402.00164,604946427.410315,1787224280.63584,204682652.652554,6099760942.70621,5750506967.45098,1676723108.27993,474865283.414574,159306301.251388,70024006.8266881,6095490644.63253,1632614539.2697,487135355.870657,145577404.754777,55487537.1487593,35040383.7586675,5553663318.08331,1955145844.28657,589257617.841402,225821576.958391,88548539.0421667,47279317.4839598,32592023.6313756,8884508007.75292,8696614303.40491,8131425667.22356,8451345865.43509,8492308237.32717
"36",41,13.083459,21.047998,15.190753,0.019193065,5.9544425,5.1569535e-05,0.04082985,5078632.2,247738020677.919,14395.1073199997,258133438.43105,438809117.591236,401764208.989855,574729891.414009,570207264.093988,944031574.156419,904267817.364073,2751506637.10085,1985731388.20992,1862812006.84389,1848541513.50336,2319844492.94719,9378505132.84328,7705948013.19657,7201823265.42089,6909153410.37193,6651445763.01275,6591476916.64875,33514023712.5196,30444730436.6275,27688047943.1903,26512641980.5105,26645571268.0557,23504901978.3465,20129371506.529,1098706765.01214,2993236547.02849,10768436038.6052,44438352501.4942,188439288825.779
"37",39,135.60405,38.121014,11.349838,0.0074072998,9.5270655,7.6237852e-05,0.04261379,6969519.8,107172618242.686,6904.7872364993,9730219414.2195,4175505209.81797,18823483439.7413,2443025755.27733,5984162918.23919,1003569480.23801,13260987218.8973,13482144239.5631,3976495321.53992,1722174305.58166,645284956.083844,294138723.979858,11334124985.1638,3895089548.78882,1209342253.61941,539833353.820351,211627121.432313,117838604.387418,8540584398.07975,3295193663.1057,1398600790.36633,539751302.821935,303020871.515928,161865304.916188,84555061.4892104,32729208063.7787,22691745372.6519,20120237546.7484,17307855867.2121,14323571392.295
