"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"21",26,163.85775,6.4475534,21.037163,0.0021954059,0.48856216,6.448101e-05,0.045999751,9449072.3,915,8.71271363257418e-08,0.0186779669769672,75857757.6905811,1674669652496.83,1685012607411.84,134331445.688257,0.00429456257519753,0.132047824743728,0.13972589625625,0.196590899862999,0.0272840504438542,0.0352287837494856,0.0536032418865653,0.107335771041977,0.0765437443275171,0.0175055345789331,0.00653651532249524,0.00843425680558288,0.0256881030730617,0.0581468724365094,0.0123395715816242,0.00319552976877875,0.00181352910394088,0.00381130195729692,0.0126616148930033,0.0485028287332466,0.013783422604885,0.00481793452636953,0.00233276156040186,0.00178028629843086,0.00286791120793202,0.00742181323513194,0.000239611921072366,0.0001541697346243,0.00011696702785007,9.453239917046e-05,9.75512204379222e-05
"22",21,94.84718,28.610983,35.466855,0.019167453,3.2321276,2.57294e-05,0.032773713,44207.552,107,7.35376571627484e-07,0.113565674709576,169577.406162841,661983137.843573,692037497.850255,54453.1733989257,0.000724317839697861,0.0210203089592348,0.00425256831683123,0.0888722754880125,0.00718631073907422,0.0306958459458661,0.00192029757513487,0.123699813419183,0.146578613490227,0.0397004588402584,0.0101814467401134,0.00269120871060559,0.000852246992596131,0.166584684432177,0.0502620062998636,0.0122675689946551,0.00332633430906509,0.000983710338423339,0.000404002900027834,0.205971358767546,0.0598670572182611,0.0158439559104734,0.00467779980190687,0.00147848234179009,0.000450165660723826,0.000231477807949454,1.00449141682876e-05,1.77088013923202e-05,2.84317325768415e-05,4.27372185831473e-05,5.85926351216214e-05
"23",29,8.5436125,24.26398,19.313852,0.012648605,8.9610328,9.5175061e-05,0.03918851,6569981.9,245,3.16665195331375e-07,0.0963586856177747,19491137.4615496,272742257947.609,275000302930.227,21335341.037679,0.000811813539711408,0.00114653378378941,0.00185707870048626,0.00185821970678234,0.00251972547679171,0.00261600916637175,0.00420893288326387,0.00391835795236464,0.0110694162111721,0.0084510577362264,0.00795564377986216,0.00795475047435252,0.0101085232947657,0.0346934445865852,0.031151797967662,0.0291968479505115,0.0284985153782095,0.0279790885544067,0.0294912421819458,0.122111490454701,0.112654358911049,0.112274419983964,0.113276051726061,0.10661924870363,0.100130503869257,0.0882587405657878,4.67184223733325e-07,1.80184183718387e-06,7.24300302504078e-06,3.47874836434191e-05,0.000172692330053434
"24",22,16.55368,28.785935,7.4319927,0.011382359,3.4683195,3.403404e-05,0.012800464,6262318.4,165,4.69174848034082e-07,0.132040815831928,16502814.5487864,57316699218.902,59083908297.741,4573912.80998063,0.000604363893681675,0.00128613468073016,0.00179095071124654,0.00176734696154971,0.00294788958472741,0.00297158130396553,0.004361121427716,0.0038699160859255,0.0123350167229384,0.00982489162214094,0.00896726152648595,0.00774789732854548,0.0105162577121088,0.0373005913274612,0.0335463335547565,0.0324663781359198,0.0302763038627161,0.0263056428817317,0.0263621855627806,0.134575383458554,0.121683827689226,0.109237780075987,0.111319553814443,0.104249268539122,0.0932451020485943,0.0710453833806276,3.54884848467237e-07,1.34759675906583e-06,5.97006668760915e-06,2.59245831268802e-05,0.000131044781104804
"25",31,59.082161,29.673902,18.551021,0.010716592,6.7193949,9.4062374e-05,0.02289202,380074.92,127,6.24823391010439e-07,0.13839088322812,1102818.60378187,4674242602.33687,4737509633.39752,375933.567928676,0.000581155531892456,0.00276017140898391,0.00105701159342786,0.00958312006686519,0.00233681133385756,0.00676782387389673,0.00109546159417978,0.0273160475582054,0.0636056542478325,0.0172890098610512,0.0071036403761405,0.00355844246113193,0.00217661257653904,0.128451596692209,0.049618699903709,0.0248307285811381,0.0133464196892911,0.00699838267022007,0.00421613179192765,0.289226527518726,0.14441834173823,0.0831006584822702,0.0574914213643955,0.0306900810835322,0.0168593696706728,0.00610183386156655,9.81122552156947e-07,2.91847363868431e-06,1.1152087957846e-05,3.33079120526241e-05,0.000103436424690579
"26",19,167.47857,40.469193,3.3046039,0.017349967,8.7010434,2.3323256e-05,0.025043041,8374610.1,106,7.2982028812548e-07,0.226527459590691,16044102.219936,96402490095.5924,102186582196.562,7905251.13129285,0.000361998327867584,0.127807574680224,0.129877132527281,0.17526966549669,0.0447125945622681,0.0537759416781822,0.0551551402294319,0.109967807322413,0.070955637959338,0.0299526359316615,0.0181145748621978,0.0167515706517457,0.0223714814623355,0.0446140996619337,0.0192992894444226,0.00919119346967191,0.00657375112651197,0.00681059373068986,0.00776046163872404,0.0198024685717336,0.0132435572489054,0.00659890063063325,0.00374516787091517,0.00271518405904001,0.0027610353423365,0.00217253984071202,1.92214515707963e-05,1.53043167714298e-05,1.08016135232203e-05,8.36859577746514e-06,5.22905084336217e-06
"27",33,136.15389,36.555468,6.030007,0.004946218,0.85174793,6.9433175e-05,0.022038651,2002151.7,94,8.81749302685029e-07,0.206495105697202,4625125.18942604,16794594741.3938,17039899618.8973,1412342.44303784,0.000407249649600397,0.0929066472103267,0.0394215285382302,0.17737225173978,0.0232425350772345,0.0497649800309958,0.00892202384981299,0.137277479867366,0.116047607579497,0.0395547405490977,0.0145215233810873,0.00591359799796117,0.00255039598281284,0.113794349129438,0.0340292509835843,0.0117467496898097,0.00420968158114204,0.00187662213790172,0.000974843971277243,0.0741523287030927,0.0303958525981528,0.0115239409016706,0.00524578218036283,0.00244595447257522,0.00136611371377971,0.000743218133010305,1.61011136905172e-05,1.42455289797759e-05,1.4700713481208e-05,1.66041940024356e-05,1.36334608531212e-05
"28",34,178.38673,26.747362,15.326852,0.01508557,2.3274788,6.3370098e-05,0.038611744,6720794.5,257,3.0640672462298e-07,0.104132938176569,18148692.9191523,284060828956.696,288524518404.269,22720304.1330224,0.000768094522387177,0.14256273368476,0.16288826501872,0.168630393765677,0.047014302607972,0.0494469320745804,0.0801703428610787,0.0873713475783745,0.0478768121875051,0.0213114035111228,0.0146199263875113,0.0207996806480116,0.0423824260062289,0.0255917451405594,0.0115968868644055,0.00594936003116694,0.00541720053248737,0.00953591678190119,0.0205124015318881,0.00959963012093793,0.00613444643650775,0.00329890751899833,0.00230658757724211,0.0028881700614653,0.00484387322108796,0.00725030784980939,4.39234200091774e-05,3.23499892136054e-05,2.15261394559879e-05,1.5269922956018e-05,7.70741465117478e-06
"29",30,132.49474,27.70433,32.90775,0.0031032734,1.7779806,7.252577e-06,0.0062915983,5920582.9,137,5.76233513273732e-07,0.130556074635403,17487605.6524991,21701194559.9326,23389237670.2398,1846439.77558578,0.000651710056408957,0.078609190006871,0.0366784792166564,0.156758237204532,0.0222428270660726,0.0523370298919388,0.0093995972660889,0.140028458144913,0.121454224857988,0.0387396126436763,0.0146883194201672,0.00567504318916856,0.00257952404137982,0.115780386909027,0.0355447160920264,0.0123045126417036,0.0045698120141143,0.00192011688378246,0.00111943698537541,0.0943203311570605,0.0326636895825837,0.0121903935638373,0.00524650465178636,0.00274963978531848,0.00148844971300087,0.000911467070929853,1.81177426447941e-05,2.77057915281578e-05,2.2650753033032e-05,2.76958952885488e-05,2.63257925001774e-05
"30",20,152.31004,46.721759,24.477269,0.016889996,7.9356002,9.3962381e-05,0.043388337,9340224.4,59,1.17572735205273e-06,0.298634747421392,17227965.5692588,115666458801.794,117674413896.507,8162828.59623893,0.000236315876131409,0.123899829829699,0.0750689584664891,0.178297316073279,0.033875918534848,0.0576080750672614,0.0169145502448791,0.130449546858791,0.0867533876837362,0.041242611984104,0.0192304558021321,0.00902520530898808,0.00405581013324998,0.0786066822153825,0.0319084426524144,0.0128812729043157,0.00604080783583251,0.00273067234726292,0.00119921897218743,0.0464682904851032,0.0234412748741133,0.00967897336937787,0.00584361657852912,0.00287109755517741,0.00136722929861697,0.000540754924229885,1.20886738967802e-05,9.56671115550012e-06,7.70505771641276e-06,8.01273619258476e-06,5.05859093900762e-06
"31",37,176.85905,2.6148949,19.657073,0.017318218,1.6959024,4.6397986e-05,0.010426186,7604122.1,1660,4.75032713814767e-08,0.00912176818375669,92298686.8804344,560426207019.864,561740372752.032,44296278.918801,0.0086650241642219,0.123598545903376,0.163359414570732,0.170579155368458,0.0188577062765336,0.0195512414109011,0.0744042668487914,0.0830654231054415,0.057486818382221,0.00776872224446019,0.00256970023670622,0.00715812371028492,0.0499615274028456,0.045673794230293,0.00610439111313224,0.00123273800211129,0.00115383461711433,0.0052801382304269,0.0379027634848028,0.049141786778526,0.0118699781784387,0.00529883560490471,0.00389407662602132,0.0045814717641197,0.00985578277540288,0.0396497631339557,0.000475270760720506,0.000275043284063227,0.000213921305229289,0.000202749644308599,0.000301687108924352
"32",42,113.69425,23.697267,21.986124,0.0048392342,9.5152708,2.9170081e-05,0.0072881324,8299876.5,153,4.84503863387174e-07,0.0964821613394683,30418440.2359998,41914846404.0178,42656202081.1437,3162065.48997793,0.000781908542056928,0.0559939046942402,0.0154016827506518,0.136886152941938,0.0141819102005271,0.0418983452215472,0.00479842655150573,0.14299821937037,0.134810571192249,0.0393078386371657,0.0111323854503327,0.00373465741156103,0.00164159028254516,0.142898109705999,0.0382737904364768,0.0114200358237237,0.00341280746180471,0.00130080819298462,0.000821460468796805,0.130195916352767,0.0458349723814454,0.0138141135190722,0.00529399163406102,0.00207586551830665,0.00110838084914409,0.00076406295078443,1.49019725979166e-05,2.70898062608642e-05,3.11744655159862e-05,3.94886988460364e-05,4.27324094486529e-05
"33",27,137.19565,26.03045,37.604099,0.0091874248,6.564229,3.2334154e-05,0.047811546,9632295.4,151,5.20355427355183e-07,0.118160229022106,29872545.0986483,297060314364.789,305476990699.485,24002448.1164335,0.000683816505383064,0.0952141611762148,0.0427627602450591,0.186698737486236,0.0211342310265912,0.0503809860786471,0.00889691126705867,0.14213347795502,0.109978915341643,0.0340976916759345,0.0130230988799248,0.00511476155174571,0.00238017313904236,0.106626189910624,0.0332023881767662,0.0107384405986421,0.00393611932731844,0.00163004913207318,0.000905151788155398,0.081397842080918,0.0298887988336623,0.0109839714164331,0.00476642131299907,0.00218854763894253,0.0012205887358731,0.000699585224476782,3.08767553880703e-05,2.62032405893022e-05,1.93799061604538e-05,2.70241424460093e-05,2.37561939195495e-05
"34",24,74.879884,49.401541,38.570768,0.0011661162,3.2905872,8.3806572e-05,0.013302457,8406774.2,49,1.7066990638984e-06,0.316456140428041,17630232.642326,22003506646.8797,22461781907.7493,1878439.60561684,0.000269768856234143,0.00676125290675406,0.0024666509325848,0.0263196140405541,0.00442110093878476,0.0164093894107979,0.00157617125276145,0.0664187210924471,0.090518647065887,0.0323212135345943,0.00965769481763635,0.00357897060567142,0.0012786869183388,0.180211076367739,0.0584865959148922,0.0219686475921329,0.00674810284441254,0.00291202965571339,0.000968710510539514,0.275249855860697,0.104831005420383,0.0487892200031099,0.0252633019908923,0.00921180382450271,0.00283756681224517,0.000793969685927849,1.36994474863164e-06,3.91221581945043e-06,8.31828052296215e-06,1.64297315046538e-05,3.08512105990861e-05
