"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","row1"
"21",22,16.55368,28.785935,7.4319927,0.011382359,3.4683195,3.403404e-05,0.012800464,6262318.4,176,5.3970607408245e-08,0.018067848183273,40904498.9753652,498169607693.573,499129422841.983,4741143.99019511,0.000526743862362216,0.347960321743149,0.267123220105555,0.384916458151296,0.000526743862362216
"22",32,113.87494,8.276168,1.0119611,0.0027626552,5.9704202,6.316977e-06,0.026174334,1750215.3,175,5.39560897205054e-08,0.00635904891009989,32477549.7761167,285571286930.424,300663535334.098,2838960.02042992,0.00156333687761101,0.267832136565527,0.164805315118912,0.567362548315561,0.00156333687761101
"23",21,94.84718,28.610983,35.466855,0.019167453,3.2321276,2.57294e-05,0.032773713,44207.552,61,1.57231349425753e-07,0.00974457011201046,913833.479373848,3111357301.06693,3150436383.63477,30216.1891966119,0.000996614310794723,0.17377134462511,0.0433991965136176,0.782829458861272,0.000996614310794723
"24",18,106.0158,22.59127,10.11384,0.0016645654,9.0986911,3.4844013e-05,0.0091539265,9387124.7,77,1.17764738254381e-07,0.0112470035622464,145501376.621965,245675398598.758,246940105151.2,2239224.43726831,0.000810399422768922,0.234680469069916,0.089465956072171,0.675853574857913,0.000810399422768922
"25",25,126.21431,36.694202,38.904982,0.018914809,5.8985356,3.7047925e-05,0.044387815,9975575.1,58,1.62901561077157e-07,0.0260675078035667,78462974.0681217,913208061514.115,921239287242.736,8704136.44501205,0.000365642307881042,0.302072652958163,0.141715679629282,0.556211667412555,0.000365642307881042
"26",40,117.27334,25.890406,49.723876,0.015488201,1.1906619,2.958598e-05,0.019974465,1626652.7,82,1.24427129704719e-07,0.0157390364906093,18519870.6826879,87805121585.3817,88731643025.0407,905331.139758341,0.000655102818185373,0.272848169890801,0.118734294685902,0.608417535423297,0.000655102818185373
"27",30,132.49474,27.70433,32.90775,0.0031032734,1.7779806,7.252577e-06,0.0062915983,5920582.9,83,1.09803344103039e-07,0.0195230345815203,51049164.512528,113934254480.635,112493115235.798,1025225.98004111,0.000460911946172144,0.313177505718269,0.165007060783845,0.521815433497886,0.000460911946172144
"28",19,167.47857,40.469193,3.3046039,0.017349967,8.7010434,2.3323256e-05,0.025043041,8374610.1,168,5.5816714108263e-08,0.024101657151948,41702638.9147387,1259838232469.81,1260688084566.31,11821734.3545165,0.000389331468649194,0.364164139813317,0.274278223215559,0.361557636971124,0.000389331468649194
"29",29,8.5436125,24.26398,19.313852,0.012648605,8.9610328,9.5175061e-05,0.03918851,6569981.9,248,3.8156959187686e-08,0.0138012195103493,47238630.7450232,2262963201617.9,2265410335123.97,21437410.0857704,0.00068640013540449,0.342894858035743,0.29706098896803,0.360044152996226,0.00068640013540449
"30",26,163.85775,6.4475534,21.037163,0.0021954059,0.48856216,6.448101e-05,0.045999751,9449072.3,282,3.31939691890753e-08,0.00627286352147469,139417290.715267,4397140191517.37,4387402981510.38,41069160.0675042,0.00148894847747166,0.296617127540538,0.302949495106594,0.400433377352868,0.00148894847747166
"31",48,42.799398,13.28556,30.823754,0.0064108195,1.3061737,3.8238429e-05,0.037473981,6655336.7,163,5.84887371929658e-08,0.0099239010170049,82392454.824528,1432329439360.7,1440753641203.94,13735661.3560703,0.000966327263901676,0.301072777156768,0.201954562854315,0.496972659988917,0.000966327263901676
"32",39,135.60405,38.121014,11.349838,0.0074072998,9.5270655,7.6237852e-05,0.04261379,6969519.8,64,1.44278684002523e-07,0.0289509607319462,46452027.4946328,691152326734.821,695411571470.313,6421316.24779923,0.00032091299568981,0.332002151957987,0.169372829240903,0.49862501880111,0.00032091299568981
"33",33,136.15389,36.555468,6.030007,0.004946218,0.85174793,6.9433175e-05,0.022038651,2002151.7,68,1.36354600989219e-07,0.0274994505091017,13657511.5051405,108649556014.496,109192084496.617,1012441.33166477,0.000338858118052149,0.333831975862453,0.172332402567237,0.49383562157031,0.000338858118052149
"34",37,176.85905,2.6148949,19.657073,0.017318218,1.6959024,4.6397986e-05,0.010426186,7604122.1,330,2.80773720713459e-08,0.00456425760391799,141814577.311268,948604142483.42,944939451904.69,8755367.47008715,0.00202217722085307,0.271540439450117,0.35697014391538,0.371489416634503,0.00202217722085307
"35",47,85.991718,9.4147251,4.4420077,0.0071422271,1.4254124,1.8322023e-05,0.0061960775,9118708.7,158,6.10987643546678e-08,0.00524545111737694,218288282.586262,311528249380.937,313959238070.226,3030838.39760416,0.00185473770954307,0.229991154674131,0.102402491458846,0.667606353867023,0.00185473770954307
"36",38,130.07887,45.538652,19.429187,0.015287404,3.3320359,1.0952355e-05,0.032901328,8452999.9,47,1.97326574017495e-07,0.035585874358315,53603077.3108566,473343390488.53,492761027177.855,4570037.72921034,0.000271310016139903,0.333466740369051,0.161267832529611,0.505265427101338,0.000271310016139903
"37",27,137.19565,26.03045,37.604099,0.0091874248,6.564229,3.2334154e-05,0.047811546,9632295.4,96,9.57956175355328e-08,0.0185410501827673,81683059.5625034,1614268620083.4,1618982734522.18,14888779.2799601,0.000497449453186792,0.318089296218024,0.180984536828729,0.500926166953247,0.000497449453186792
"38",20,152.31004,46.721759,24.477269,0.016889996,7.9356002,9.3962381e-05,0.043388337,9340224.4,79,1.15099445620664e-07,0.0357839572456819,44985160.2878037,1181091871671.45,1183814564178.69,10764255.6043161,0.000254690036036796,0.361237133371435,0.220974218938733,0.417788647689832,0.000254690036036796
"39",45,78.554053,2.6988127,26.142891,0.012978059,6.058941,7.0952102e-05,0.046679354,10592.869,248,3.77672218601107e-08,0.00414412172026622,252349.431441998,4404990068.07567,4411716581.87241,41321.3331750131,0.00226358542295572,0.252502715989843,0.212808488991685,0.534688795018472,0.00226358542295572
"40",56,162.83756,21.791374,10.038774,0.0021778646,9.8163266,7.201857e-05,0.03742719,6067065.1,196,4.77672397897105e-08,0.0140013422582008,48110267.1601192,1594811675621.59,1599455755394.09,14974710.9737847,0.000670624430418299,0.333647367301566,0.27126117997463,0.395091452723804,0.000670624430418299
"41",34,178.38673,26.747362,15.326852,0.01508557,2.3274788,6.3370098e-05,0.038611744,6720794.5,318,2.96247988147677e-08,0.0131230748797706,44779209.9051598,2936954281579.16,2939496329902.64,27692071.9900562,0.000718493194633407,0.347296845404717,0.319979603965007,0.332723550630276,0.000718493194633407
"42",35,65.760961,17.91425,6.4067843,0.016173701,5.4354227,6.1235022e-05,0.032583896,881385.58,102,9.04542329211205e-08,0.0106605740751516,12631749.6135572,106787623156.233,107298622247.537,989972.686027194,0.000869604342619292,0.262218366578004,0.121431155502096,0.616350477919901,0.000869604342619292
"43",41,13.083459,21.047998,15.190753,0.019193065,5.9544425,5.1569535e-05,0.04082985,5078632.2,226,4.20282283853757e-08,0.0130237074120602,40611252.6147344,1655047384312.2,1662568707723.05,15791708.7221313,0.00073262892608798,0.337539168672029,0.284464460017437,0.377996371310534,0.00073262892608798
"44",42,113.69425,23.697267,21.986124,0.0048392342,9.5152708,2.9170081e-05,0.0072881324,8299876.5,78,1.17442003139318e-07,0.0136026025716083,106224588.695397,173249494295.905,173846182937.026,1592513.8290554,0.000675754937025402,0.261047345797458,0.112363806437365,0.626588847765177,0.000675754937025402
"45",28,47.241539,22.77981,11.100215,0.0090485898,1.7975523,4.0125851e-05,0.033658844,9371549.1,100,9.14574116202438e-08,0.0158429845001516,90875654.7432307,1158448942051.76,1170263875811.88,10702930.4994429,0.000583161454787737,0.304709110758267,0.174065574126576,0.521225315115157,0.000583161454787737
"46",43,159.24728,8.9641204,12.786405,0.0030087963,0.95700807,6.1556617e-05,0.031641825,3167330.7,250,3.74804787203234e-08,0.00752083286002008,41418441.2004308,897762004911.154,898982784544.379,8423576.28151316,0.00124758273096846,0.30509726636063,0.280528882385485,0.414373851253885,0.00124758273096846
"47",53,161.57813,17.299287,45.354043,0.017200292,0.10215149,8.07861e-05,0.011965483,1427961.3,213,4.46027330622995e-08,0.0116463088353631,13154446.6195899,128538054890.947,128357657559.714,1219446.79770389,0.000814597047086681,0.328610653951695,0.269711415960025,0.40167793008828,0.000814597047086681
"48",55,10.901579,41.916689,42.991791,0.010258712,1.6797951,3.2324152e-05,0.019792195,4511530.4,182,5.26362310702919e-08,0.024198980872256,21728658.6082489,568755364570.797,567573218393.606,5437234.54322687,0.000395053109999884,0.364770255270391,0.280242832937135,0.354986911792473,0.000395053109999884
"49",61,88.915803,32.570023,30.735919,0.012337223,4.5342454,1.3694522e-05,0.044585663,5906614.5,49,1.83384766421397e-07,0.00885014882749661,145188892.909195,486009148348.021,499813442202.471,4491250.39627615,0.00104417249784346,0.143274231450873,0.02854905116247,0.828176717386657,0.00104417249784346
"50",46,137.96906,34.945107,1.562887,0.011244787,3.6213617,9.1974673e-05,0.039906063,1244352.7,77,1.25340297591816e-07,0.0261058771824235,8572633.8942173,133005373360.786,133618992076.997,1289584.0057754,0.000371400223683961,0.332561228244196,0.179047421811008,0.488391349944795,0.000371400223683961
"51",50,64.667696,37.428047,23.466282,0.0093539716,0.21812185,5.2587054e-05,0.023440244,4958339.8,46,1.9128911352149e-07,0.0230304441115333,47834673.3694659,204344218413.25,205492849134.287,1808193.06751154,0.000384220145784832,0.274308371282717,0.107869887023826,0.617821741693457,0.000384220145784832
"52",63,16.331921,11.235387,19.239278,0.014390929,4.4140636,1.8662577e-05,0.028552346,2574994.5,252,3.72086254965971e-08,0.008430283861513,29930890.1758734,663228747013.624,669517616273.066,6277781.22231428,0.00112279543016246,0.313665471189334,0.288505526100118,0.397829002710548,0.00112279543016246
"53",64,170.59756,37.153612,4.5370885,0.0073482373,8.8670065,6.1927582e-05,0.029287412,5452541.1,202,4.61010496381539e-08,0.0206792712298889,28759599.7405144,1161378332973.45,1161514484175.21,10816501.45186,0.000450378721766457,0.362035409068504,0.285552194708569,0.352412396222927,0.000450378721766457
"54",69,164.48714,7.0624361,41.720654,0.010208306,9.6181446,5.6464249e-05,0.010387996,1622752.3,286,3.34385112444294e-08,0.00652291726547333,23109872.1180544,169273012265.31,168890703661.574,1615171.7563316,0.00146281403634539,0.300791734165929,0.301193371422286,0.398014894411785,0.00146281403634539
"55",58,92.932553,22.140114,40.570914,0.0055059861,3.45245,7.1739566e-06,0.023950705,8330328.1,81,1.20104542385497e-07,0.00762663844147906,192296941.820072,560784801874.523,580460792261.781,5646994.20401326,0.00132034659189265,0.181840473619095,0.0512144325824738,0.766945093798432,0.00132034659189265
"56",36,44.466999,29.801845,26.823268,0.0073961039,8.2500563,7.700639e-05,0.017533494,8120471.4,84,1.11945873133769e-07,0.0214962943426389,64207446.3085855,427089070965.426,427986797298.238,4024553.87991525,0.000438364814140802,0.316294465611268,0.176082911214824,0.507622623173909,0.000438364814140802
"57",71,83.600248,40.848481,36.124837,0.019194039,7.1558488,1.3283855e-05,0.045501312,7564052.7,40,2.41001971390901e-07,0.0140793351686564,133981985.097713,482420296668.382,501089265346.605,4830540.03165401,0.000711193807333402,0.178869428023895,0.0416445402096224,0.779486031766483,0.000711193807333402
"58",66,90.127277,26.152674,16.938043,0.0081567801,2.1113756,3.9728704e-05,0.01697291,2363268.4,66,1.42993918759802e-07,0.00740937289445788,61270876.3530557,94865351395.3255,94837487988.2057,895038.147482764,0.00127336372527455,0.148805291353301,0.0309618315151911,0.820232877131508,0.00127336372527455
"59",72,169.37639,2.4272319,41.142878,0.0022189485,5.5503926,6.1755042e-05,0.040550651,4939178.9,321,2.92245223321175e-08,0.00457258566217244,93805937.8154205,2302652616322.22,2294721285350.84,21526944.8373605,0.00204452357885705,0.269949103388014,0.339296258115337,0.390754638496649,0.00204452357885705
"60",49,49.483231,47.4045,27.82641,0.0066438599,6.9611482,7.327022e-05,0.035192089,622402.59,46,2.05661317609329e-07,0.0377158177137395,3801787.88473421,35767430332.5578,35980528618.4192,340390.934501436,0.000252328738921131,0.331827944575568,0.154222936689052,0.51394911873538,0.000252328738921131
"61",51,29.971296,41.184515,46.808462,0.015200677,5.374,3.0617291e-05,0.015172873,6343017,92,1.09333311010274e-07,0.0310475989942095,34316881.6787433,295330153206.344,296871655377.984,2986132.41453699,0.000325666622890764,0.350466128649909,0.219043041635427,0.430490829714664,0.000325666622890764
"62",57,90.814121,22.62808,15.675824,0.018370114,1.9014846,1.6100861e-05,0.013780505,2553748.2,78,1.22914305681512e-07,0.0070557728033415,64461204.1423465,96739380731.5112,98059890845.4652,940131.145081065,0.0013773380629237,0.165443097475385,0.040285027316037,0.794271875208578,0.0013773380629237
"63",74,137.07257,6.681437,35.446315,0.0081512665,0.43992205,7.7162718e-05,0.035516586,4190045.5,220,4.28024627189023e-08,0.0064796080162383,67962304.4050606,1168301275624.14,1167215975574.29,10991138.0214737,0.00145190792792477,0.283007446782534,0.229559777897027,0.487432775320438,0.00145190792792477
"64",54,163.65746,33.121968,22.401915,0.0093016754,6.5600988,7.1983836e-05,0.028881109,5338391.5,159,5.8093102651248e-08,0.020805463783518,31416588.047393,890088920413.643,890894641616.848,8229018.5848362,0.000444362341740306,0.352763098128581,0.264709346167451,0.382527555703968,0.000444362341740306
"65",79,123.92195,35.634146,30.593117,0.012463417,5.5725651,2.6885135e-05,0.022780779,1916276.7,58,1.6281831082017e-07,0.024565375463304,15990061.9871258,90092905700.9227,90698403926.3958,856506.933440112,0.000387005273037423,0.295180036390447,0.135474382387888,0.569345581221664,0.000387005273037423
"66",77,22.565768,27.934434,45.127096,0.0031957829,9.9044006,7.0117801e-05,0.049456734,3711072.4,143,6.38881150152486e-08,0.0187266287208096,25445651.6061203,963774243460.792,966766346263.073,8832377.77177855,0.000489376060135971,0.344252502708658,0.246025576751439,0.409721920539903,0.000489376060135971
"67",59,57.425929,3.8932453,41.347537,0.018107691,3.8265835,7.2688711e-05,0.044506475,5019130.1,242,3.92953772037342e-08,0.00499051290487424,101278605.614296,1911450071721.06,1913330353561.67,18194779.1859715,0.0019073862514332,0.267910245811331,0.22306228075537,0.509027473433299,0.0019073862514332
"68",82,132.52041,48.806721,39.540703,0.0036787941,2.4348648,2.9163195e-06,0.020008539,3033071,45,2.05034758024477e-07,0.0396840673461215,17581011.4176605,99384727164.1635,93487256524.1123,862566.165890711,0.000218703932019797,0.34140905301148,0.18299923246337,0.47559171452515,0.000218703932019797
"69",44,49.087794,34.970947,37.112283,0.018839708,9.2346022,8.2065268e-05,0.024146289,1842906,67,1.43177970092616e-07,0.0254570430824671,13915443.0790552,104384565394.311,104693136624.124,1004313.30255956,0.000377941837515762,0.316647753734422,0.157634104828279,0.525718141437299,0.000377941837515762
"70",80,156.28448,26.092481,22.519006,0.0066501902,6.5019042,5.8467389e-05,0.046556461,3275212,152,6.30735043766902e-08,0.0176227371228472,23711184.3150333,811113769320.092,814626772046.663,7809967.52135223,0.000546379115707956,0.33987684115636,0.243932445054607,0.416190713789033,0.000546379115707956
"71",87,55.13793,10.033495,46.841321,0.0095483428,5.0370242,6.3675483e-05,0.031995268,702182.12,168,5.6048042297607e-08,0.00771602188702697,10944609.0259106,134740603199.582,134890588410.134,1270139.37199973,0.0012216855593835,0.279115294976003,0.178695808326498,0.542188896697499,0.0012216855593835
"72",67,69.145587,18.983972,37.683194,0.015002711,6.6903778,2.0332382e-05,0.038705515,6616289.6,98,9.72893214980077e-08,0.0106259396940124,98660533.4069313,885631224215.575,902738283850.619,8607025.92235806,0.00091460346910389,0.252705125862176,0.112234405308522,0.635060468829302,0.00091460346910389
"73",85,159.943,19.727785,25.407113,0.01381397,7.7856576,2.2608429e-05,0.022281827,2844820.7,188,4.90854191473114e-08,0.0131658874653684,24318944.6869754,433296074197.042,434871018231.191,4013015.32652047,0.000703454359666882,0.32941986321011,0.263209273039964,0.407370863749925,0.000703454359666882
"74",65,13.274834,34.753683,11.846429,0.010824309,5.4774684,1.6870335e-05,0.008540309,3214956.1,176,5.29713301790703e-08,0.020827903255769,18047358.5644334,173813486780.186,173246288962.605,1615167.20198887,0.000446157772872076,0.357763244911088,0.275975589348727,0.366261165740185,0.000446157772872076
"75",62,47.906011,26.382533,21.595837,0.013705146,9.1626414,6.3831657e-05,0.041232734,5589337.1,91,1.0546816352975e-07,0.0184843503402239,49886210.6491635,733930594774.595,738319762199.312,7086099.87693633,0.000522333747251988,0.310967124870694,0.167839162384013,0.521193712745293,0.000522333747251988
"76",52,87.573129,15.146742,15.821881,0.012782841,5.5185817,8.4808757e-05,0.025472242,940480.45,108,8.52925621879011e-08,0.00615266426598644,22678057.2543677,94725513262.505,94550302553.571,870959.256527015,0.00149440273793361,0.200321135321447,0.0657299266167007,0.733948938061852,0.00149440273793361
"77",90,106.40044,34.655103,25.711574,0.0029799282,8.9018806,1.9383518e-05,0.046502812,74024.48,55,1.87694469177221e-07,0.0172581310519071,943997.953350989,6176022624.49909,6331578356.54068,65362.1231276685,0.000613230165181605,0.223577406858931,0.0777666570815614,0.698655936059508,0.000613230165181605
"78",95,74.771031,9.7826526,44.804487,0.019198887,2.9549124,9.1820663e-05,0.03111082,5262426.9,157,6.11557710138196e-08,0.00630662773002914,104826555.441863,900974982162.826,900696911529.081,8648001.80966934,0.00152196913051427,0.24895649744867,0.12632041343647,0.62472308911486,0.00152196913051427
"79",70,95.354531,21.363887,10.037075,0.010004236,7.356218,9.4633979e-05,0.02105108,9516771.3,80,1.15580336432615e-07,0.00810264390527206,202846990.728413,584700287738.862,583237356109.369,5392861.58713519,0.00113830649357005,0.184039371042919,0.0566247289655821,0.759335899991499,0.00113830649357005
"80",88,63.182745,24.948409,29.078107,0.013998129,4.7649636,9.384155e-05,0.024473374,5946820.1,80,1.20363771913248e-07,0.0150416198484548,69678982.3160013,406585737794.084,407009161549.574,3919132.63098841,0.00064083055707253,0.2642896497964,0.120721248366082,0.614989101837518,0.00064083055707253
"81",93,151.47192,25.022742,15.351143,0.002759356,1.0531024,2.2196293e-05,0.023911781,8240292.3,133,6.9227306913344e-08,0.0174078985964295,63270126.07564,955150485093.976,965069153002.334,8885615.41351663,0.000534403585648249,0.337754057836865,0.230249297903513,0.431996644259622,0.000534403585648249
"82",98,51.698227,2.1502265,2.1788513,0.012777316,1.2163555,3.828948e-05,0.0088783589,9169650.4,268,3.43469856358125e-08,0.00441441198185716,195563563.733605,796947896749.881,797081939050.955,7337132.99218785,0.00208556437818742,0.257481220010592,0.264820592782346,0.477698187207061,0.00208556437818742
"83",96,96.714716,23.041499,47.013629,0.0076879228,7.2121635,2.9890482e-05,0.0095599204,7645959.5,80,1.24292548926058e-07,0.00890282669447572,153812040.423776,198343756005.985,199041930546.092,1979154.31125898,0.00112081311529961,0.189928782003181,0.0567595451401629,0.753311672856656,0.00112081311529961
"84",73,9.0151171,27.487219,1.3519037,0.0058671477,0.14832153,1.6991561e-05,0.039784644,4274041.4,234,4.03564353053673e-08,0.0154783071970206,28179635.6777747,1412968607480.89,1428287469140.18,13487898.2579225,0.000616720388777286,0.348442913135999,0.294080934552354,0.357476152311647,0.000616720388777286
"85",60,177.59558,19.774473,11.060078,0.0029654511,5.3886675,7.9164259e-05,0.01532127,8147737.2,317,2.98683343883736e-08,0.0107273915055907,66682534.2148622,1401702726405.01,1400540300383.77,13260682.507153,0.00088189286345815,0.334725767329044,0.324308304493388,0.340965928177568,0.00088189286345815
"86",104,96.200971,10.19416,38.792342,0.0028722703,0.56387146,5.4993568e-06,0.012454268,1743671.5,141,6.39879096999744e-08,0.00562351345607255,39844612.2100597,114314073571.933,116643675125.894,1052393.67809507,0.00163708334728476,0.236213190849829,0.107060365408489,0.656726443741682,0.00163708334728476
"87",101,102.89787,17.607751,27.935653,0.010574865,2.8529685,5.3300177e-05,0.029027822,9582249.8,100,9.46921177133481e-08,0.00861054364791017,173963262.044311,989236284483.953,992452928949.135,9397746.95730085,0.0011032987773707,0.22942628674475,0.0888066463226093,0.681767066932641,0.0011032987773707
"88",103,5.9496758,34.055941,9.1072049,0.017998029,4.6279802,1.8558071e-05,0.01187615,4433337.3,249,3.77929409326044e-08,0.0176437100602682,24814750.850921,467071235732.904,463901946389.512,4365522.49574634,0.000529740522712077,0.358567646149748,0.299843791450266,0.341588562399986,0.000529740522712077
"89",75,138.63682,36.911464,5.2154778,0.01733536,0.86990116,7.3797019e-05,0.032261667,2329965.6,71,1.30857527804556e-07,0.0279862377565048,15299176.5950741,192833255745.849,193869962768.804,1801223.42708758,0.000333765261978466,0.335700948697923,0.180122093213465,0.484176958088612,0.000333765261978466
"90",78,2.8561862,26.0283,30.106717,0.0075235594,7.0610146,6.9889146e-05,0.0093358589,1423593.2,305,3.11654856668485e-08,0.013203943643445,9669029.93236727,142982262363.316,142681242505.143,1356252.71655776,0.000718380929092769,0.348338546919944,0.315061744996818,0.336599708083238,0.000718380929092769
"91",68,49.874724,25.612606,17.436825,0.010561029,3.3791645,2.6337625e-05,0.033598226,4292926.4,92,1.05619859904079e-07,0.0177061133143199,40028259.7529466,458734914498.572,466307212182.547,4531119.82291439,0.000557853949345357,0.306236610867297,0.163419071596858,0.530344317535845,0.000557853949345357
"92",111,151.56713,7.7956968,31.863426,0.016666175,6.023262,6.5195129e-06,0.005446004,9110350.4,236,3.94949926960657e-08,0.00706233661393969,130233106.063339,421895170686.661,424381767305.409,3955585.33281666,0.00132757110137498,0.297103656584854,0.261020635918664,0.441875707496482,0.00132757110137498
"93",106,171.96494,18.500936,17.044757,0.016346027,3.8332918,6.8658277e-05,0.032092304,6753959.8,268,3.50854515820793e-08,0.0110683372396954,58063516.6849488,2072297794111.69,2074983150238.69,19510861.1881565,0.000850632342408323,0.331650929537407,0.30447329747313,0.363875772989462,0.000850632342408323
