"angle","gap","Re","hair1","hair2","hair3"
38.038476,39.539419,2.505,90.9073753356934,140.077474108044,91.4448108673096
38.038476,39.539419,3.9454889,97.1912002563477,157.070314756594,100.057481765747
38.038476,39.539419,4.4376187,98.6934547424316,161.615323827824,102.198354721069
38.038476,44.421268,1.0645111,78.7271423339844,108.860795021057,70.0158052444458
38.038476,44.421268,2.505,90.9192123413086,133.813009262085,86.4072732925415
38.038476,44.421268,3.9454889,97.2024002075195,148.578181266785,96.198525428772
38.038476,46.563124,2.505,90.928638458252,125.378034591675,90.5681891441345
41.537762,25.25,2.505,118.461357116699,164.016132354736,58.6119267211048
59.401706,10.960581,2.505,157.605233192444,179.243974685669,87.9930184475205
59.401706,25.25,1.0645111,134.075489521027,135.537453651428,50.7301932894953
59.401706,25.25,2.505,159.659965991974,163.967203140259,63.6824632069512
59.401706,25.25,3.9454889,175.438723564148,180.286083221436,71.7517152128559
59.401706,39.539419,2.505,159.9124751091,147.073659896851,81.6117782592773
90,2.8220488,2.505,197.154811859131,206.084575653076,200.996976852417
90,3.9368763,1.0645111,169.340068817139,174.500868797302,171.10925579071
90,3.9368763,2.505,204.797365188599,211.251049041748,205.64263343811
90,3.9368763,3.9454889,224.08655166626,231.740646362305,225.136405944824
90,6.0787324,0.57238131,154.680866241455,141.248752593994,140.00207233429
90,6.0787324,1.0645111,177.079362869263,162.928972244263,159.211730003357
90,6.0787324,2.505,212.128192901611,196.924880981445,190.745785713196
90,6.0787324,3.9454889,231.336130142212,214.981025695801,209.042333602905
90,6.0787324,4.4376187,236.089487075806,219.358894348145,213.795774459839
90,10.960581,0.3564649,147.116936683655,112.795655250549,113.210057258606
90,10.960581,0.57238131,162.254419326782,125.375806808472,124.137440681458
90,10.960581,1.0645111,183.811023712158,144.419798851013,140.628433227539
90,10.960581,1.6567473,201.100263595581,159.528728485107,154.05069065094
90,10.960581,2.505,218.28900718689,174.261140823364,167.64612197876
90,10.960581,3.3532527,230.577579498291,184.59917640686,177.677755355835
