"angle","gap","Re","hair1","hair2","hair3"
90,39.539419,3.9454889,-0.00115283745527267,0.00121188837848604,-0.000990286473417655
90,39.539419,4.4376187,-0.00113124039024114,0.00121671941876411,-0.000988316432223655
90,39.539419,4.6535351,-0.00112221020460129,0.00121824034117162,-0.000986968522076495
90,44.421268,0.57238131,-0.00144017037004232,0.00079541196860373,-0.000629367660498247
90,44.421268,1.0645111,-0.00133992008119822,0.000871432695537806,-0.000722940992505755
90,44.421268,2.505,-0.00123132406920195,0.000958816353231668,-0.00080933496542275
90,44.421268,3.9454889,-0.00115316392481327,0.000986985679715872,-0.000818097542971372
90,44.421268,4.4376187,-0.00113154976069927,0.000991711283102632,-0.000816104264929891
90,46.563124,1.0645111,-0.00134015179425478,0.000674826946109533,-0.000351417946163565
90,46.563124,2.505,-0.00123150951042771,0.000766644824296236,-0.000486665965698194
90,46.563124,3.9454889,-0.00115331426262856,0.000801819808781147,-0.00056006158143282
90,47.677951,2.505,-0.00123155326396227,0.000932492175139487,-0.000969030754640699
120.59829,10.960581,2.505,0.00272226651711389,0.00402763841301203,0.000709334447979929
120.59829,25.25,1.0645111,0.00197756409365684,0.00103323231078684,-0.00143941142922267
120.59829,25.25,2.505,0.0027611860553734,0.00116065642237663,-0.00157481901161373
120.59829,25.25,3.9454889,0.00313908761879429,0.00120374819356948,-0.00158438851218671
120.59829,39.539419,2.505,0.00276684707123786,0.000240128909936175,-0.00109006399288774
138.46224,25.25,2.505,0.00402137263328768,-0.000300464116968215,-0.000512133650481701
141.96152,3.9368763,2.505,0.00397518145106733,0.00307386679388583,0.00339616278372705
141.96152,6.0787324,1.0645111,0.0034822634793818,0.00290990600711666,0.00279597870260477
141.96152,6.0787324,2.505,0.00420731979981065,0.00336544378846884,0.00324376356508583
141.96152,6.0787324,3.9454889,0.00441763816261664,0.00353956869989634,0.00335890565614682
141.96152,10.960581,0.57238131,0.00289013761468232,0.00181670390255749,0.00191821073461324
141.96152,10.960581,1.0645111,0.00363024657592177,0.00201340386271477,0.00228673534211703
