"angle","gap","Re","total.conc","hair1","hair2","hair3","row1"
90,6.0787324,3.9454889,26267.5595505016,7152.33022330449,5630.19297713058,13485.0363500665,26267.5595505016
90,6.0787324,4.4376187,26269.0447502086,7152.04060338945,5630.80648697059,13486.1976598486,26269.0447502086
90,10.960581,0.3564649,21978.8273472024,5949.8598535004,3627.08688879945,12401.8806049025,21978.8273472024
90,10.960581,0.57238131,22003.2639774738,5957.31412574144,3628.76820775362,12417.1816439787,22003.2639774738
90,10.960581,1.0645111,22028.6395100869,5964.95343376591,3630.20059141688,12433.4854849041,22028.6395100869
90,10.960581,1.6567473,22040.8485661866,5968.42428086864,3630.93127352583,12441.4930117921,22040.8485661866
90,10.960581,2.505,22049.6627974767,5971.43205889255,3631.26358428406,12446.9671543001,22049.6627974767
90,10.960581,3.3532527,22055.1224003184,5973.08266661554,3631.94915892375,12450.0905747791,22055.1224003184
90,10.960581,3.9454889,22057.6631774471,5974.14973030963,3631.72019418197,12451.7932529555,22057.6631774471
90,10.960581,4.4376187,22059.0223000487,5974.26074790101,3632.13167350193,12452.6298786458,22059.0223000487
90,10.960581,4.6535351,22059.6147739764,5974.4409202616,3632.16739349429,12453.0064602205,22059.6147739764
90,11.922885,2.505,21433.9349181604,5639.59200440453,3291.1195755314,12503.2233382244,21433.9349181604
90,16.835469,1.0645111,17382.4632382578,4498.32624236213,2115.22865114088,10768.9083447548,17382.4632382578
90,16.835469,2.505,17396.8918236082,4503.205437865,2116.4018830619,10777.2845026813,17396.8918236082
90,16.835469,3.9454889,17402.316226642,4505.37014746086,2116.99277093469,10779.9533082464,17402.316226642
90,25.25,0.24408128,12981.4756853261,2901.46635045628,955.405409353782,9124.60392551603,12981.4756853261
90,25.25,0.3564649,12992.6121891209,2904.98556633081,956.18583586795,9131.44078692215,12992.6121891209
90,25.25,0.57238131,13002.9352038472,2908.82281073421,957.010841124639,9137.10155198839,13002.9352038472
90,25.25,1.0645111,13013.1950241416,2912.50890917972,957.76532672525,9142.92078823665,13013.1950241416
90,25.25,1.1615191,13014.6955499154,2913.08541934535,957.944589318755,9143.66554125126,13014.6955499154
90,25.25,1.6567473,13018.4846916612,2914.78653332058,958.26935478193,9145.42880355872,13018.4846916612
90,25.25,2.505,13022.2308149756,2916.23719153254,958.566683903754,9147.42693953934,13022.2308149756
90,25.25,3.3532527,13024.886422716,2917.11191473989,958.803109694593,9148.97139828154,13024.886422716
90,25.25,3.8484809,13025.6744507956,2917.38916342322,958.846853346466,9149.4384340259,13025.6744507956
90,25.25,3.9454889,13025.824823753,2917.44704085189,958.858979157278,9149.5188037438,13025.824823753
90,25.25,4.4376187,13026.4991193803,2917.70603281315,958.91232163307,9149.88076493409,13026.4991193803
90,25.25,4.6535351,13026.7556349927,2917.80422360973,958.932705002468,9150.01870638048,13026.7556349927
90,25.25,4.7659187,13026.8844195354,2917.81152294564,958.908525444077,9150.16437114566,13026.8844195354
90,33.664531,1.0645111,9665.33834022554,1851.27479513089,422.881860480313,7391.18168461434,9665.33834022554
90,33.664531,2.505,9671.30442647184,1853.55613993299,423.261863896397,7394.48642264245,9671.30442647184
90,33.664531,3.9454889,9673.39146682222,1854.41230325809,423.402857083561,7395.57630648057,9673.39146682222
90,38.577115,2.505,8703.57309389431,1431.45173350529,253.713370027437,7018.40799036159,8703.57309389431
90,39.539419,0.3564649,8281.54860842714,1372.22893167673,232.739089281747,6676.58058746866,8281.54860842714
90,39.539419,0.57238131,8286.76220497864,1374.08765987179,232.993361520988,6679.68118358586,8286.76220497864
90,39.539419,1.0645111,8291.88655847697,1376.09152411394,233.257445993257,6682.53758836977,8291.88655847697
