"angle","gap","Re","hair1","hair2","hair3"
90,10.960581,0.3564649,0.0171846325367422,0.0145077367734518,0.0154856505551115
90,10.960581,0.57238131,0.019546730349426,0.0159692949641898,0.01699117632976
90,10.960581,1.0645111,0.0225393183955845,0.0182821834348172,0.0193685349066264
90,10.960581,1.6567473,0.0247954845066311,0.0202431207384428,0.021402038389311
90,10.960581,2.505,0.0271094024713102,0.022303673824078,0.0235595763813113
90,10.960581,3.3532527,0.0288755890360898,0.0238605023673622,0.025204015992118
90,10.960581,3.9454889,0.029881028319973,0.0247550655771653,0.0261423320233459
90,10.960581,4.4376187,0.0306262841971615,0.0254048322066568,0.0268334407259914
90,10.960581,4.6535351,0.030929011486869,0.0256680811754212,0.0271138398195551
90,11.922885,2.505,0.0271855554781187,0.0220280408295525,0.022922065526922
90,16.835469,1.0645111,0.0228590324399669,0.0154546208483895,0.0168401873381957
90,16.835469,2.505,0.027402472610633,0.0188768291083368,0.0205045657628762
90,16.835469,3.9454889,0.0301702728047262,0.0209633486187365,0.0227528611164829
90,25.25,0.24408128,0.0158256060791595,0.0091221776475788,0.00991055859664083
90,25.25,0.3564649,0.0177512821692289,0.00982416720622162,0.0106601598532114
90,25.25,0.57238131,0.0200516943735555,0.0108247512331694,0.0117170726648484
90,25.25,1.0645111,0.0229885859225364,0.0123860915838444,0.0133553136278283
90,25.25,1.1615191,0.0234134339300355,0.0126312286774483,0.0136122041302172
90,25.25,1.6567473,0.0252208633653164,0.0136963531553642,0.0147307880299068
90,25.25,2.505,0.0275223946399576,0.0150663501066717,0.0161722523299588
90,25.25,3.3532527,0.0292847462190117,0.0160999267777458,0.017265890348791
90,25.25,3.8484809,0.0301326127181642,0.0165997023445236,0.0177999027218128
90,25.25,3.9454889,0.030288908092926,0.0166905928271486,0.0178971826432682
90,25.25,4.4376187,0.0310340125059304,0.0171215739996864,0.0183593912673455
90,25.25,4.6535351,0.0313367730555131,0.0172964279949567,0.018547314705003
