"angle","gap","Re","total.conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","row1","row2","row3","row4"
20.2863,25.25,2.505,6255.34859125808,13.2978871824592,8.80275048544102,29.6755927561249,39.1099787961867,56.8753550936157,30.9880651335719,112.760301546485,419.310283995877,255.536473733088,165.940252185114,141.31507075776,114.58952081067,1577.94453195274,1065.2283672582,786.503315227703,629.354960717993,437.662632770387,370.453250854663,51.7762304240251,239.733700569859,1096.69160148251,4867.14705878169
20.2863,25.25,3.9454889,6256.01048220388,13.3015158240298,8.80358791185826,29.6818287796864,39.1150981477517,56.8853128121384,30.9888542750634,112.775569236063,419.355539634391,255.570288473913,165.960592712741,141.327235248424,114.592557507684,1578.10630384644,1065.35154132854,786.60018708647,629.426908078871,437.69962618863,370.467935111188,51.7869325155744,239.764834471016,1096.80621357715,4867.65250164014
20.2863,25.25,4.4376187,6256.42159915589,13.3033165365312,8.80475469476563,29.6858740304001,39.1182456898486,56.8891692880433,30.9913089985735,112.778952212468,419.36721833789,255.582697997694,165.975386742483,141.342819397051,114.605127395114,1578.14528118228,1065.39359519563,786.662355734245,629.508914804397,437.7572385978,370.509342320686,51.793945261697,239.777676188933,1096.87324987023,4867.97672783503
20.2863,39.539419,1.0645111,2308.04144144078,1.15512191136346,0.607911262080236,3.08690564177569,6.67038872190051,13.003274837308,3.56681986552323,26.4096814664435,159.805413700986,86.4562401184549,53.7382353234385,29.7478754851357,17.3042902820048,724.968626839837,471.20907837728,312.519682136417,200.947472315655,124.127807046331,72.7166161088479,4.84993881521939,49.6501648911753,347.05205491002,1906.48928282437
20.2863,39.539419,2.505,2308.54155272792,1.15610741439284,0.608041324238018,3.08832923703966,6.67207208971847,13.0106261852669,3.56742875955953,26.4165530045737,159.841988094119,86.4795511717682,53.7532706174668,29.7541560753314,17.3060405971258,725.113922466558,471.317870654416,312.587523448941,200.993917517412,124.148915281491,72.7252387884989,4.85247797567052,49.6666800391186,347.135006555811,1906.88738815732
20.2863,39.539419,3.9454889,2308.72744749487,1.15643584458666,0.60807242178818,3.08906528198848,6.67277457493781,13.0104660804386,3.56749141093247,26.4205298854016,159.855433307587,86.4892480060403,53.7580205270017,29.7553797598778,17.3067329926891,725.16655444574,471.358779612336,312.614319770178,201.009821343046,124.159564355456,72.7287578748485,4.85357354836333,49.6712619517105,347.164814593196,1907.0377974016
20.2863,44.421268,2.505,1683.55353898389,0.464106624676828,0.188496241226235,1.26323349226758,3.25060128200641,6.98338253475112,1.22316811438222,13.0905325127073,115.196768660104,54.1813871387298,33.4510797615039,17.27685397343,7.42597866408758,593.420389911114,374.870236325217,211.390268339924,127.613203682156,80.2710540389119,41.9927976866903,1.91583635817064,24.547684443847,227.532068197855,1429.55794998401
38.038476,3.9368763,2.505,25410.386398037,468.578327586508,501.355094423827,1168.03663026107,134.777079721478,239.344607954558,395.006934983664,1297.42116179276,2122.80516127559,555.889205807574,322.328645317374,319.451285352484,729.699934793301,5977.54918052742,2910.93064215221,2131.91651362267,1889.25019327859,1802.13409830858,2443.91170087732,2137.97005227141,2066.54978445246,4050.17423254632,17155.6923287668
38.038476,6.0787324,1.0645111,21395.2125278779,285.50593938054,256.084912218586,770.701037247423,116.280763122269,217.345862553838,240.933159015735,1035.69890771865,1925.58301714755,602.649567395748,338.383195917528,310.180295110387,524.779167959649,5164.63390600443,2693.05151825652,1981.68809582066,1652.10631209546,1522.31700662796,1757.28986428493,1312.29188884655,1610.25869241049,3701.57524353086,14771.08670309
38.038476,6.0787324,2.505,21425.4041313967,286.276971987474,256.137381283084,773.327769602827,116.407758096424,217.934797183597,240.65363653114,1038.91988679618,1930.44628166036,603.941726578966,338.855811137455,310.287116292253,524.231221151949,5174.04962115135,2697.29946611305,1984.22112249371,1653.53931398447,1522.6870963106,1756.18715304181,1315.74212287338,1613.91607860734,3707.76215682099,14787.983773095
