"angle","gap","Re","row1","row2","row3","row4"
90,10.960581,1.0645111,1.27288147543091,0.975920545613626,0.8580668759606,0.797143627142311
90,10.960581,1.6567473,1.29535927924328,0.993226263522714,0.875413176727404,0.814624903709288
90,10.960581,2.505,1.31335376054359,1.00712061463079,0.889579320697812,0.828693307401263
90,10.960581,3.3532527,1.32466358296884,1.01564458648325,0.898463453915902,0.837378216619448
90,10.960581,3.9454889,1.33049206745345,1.01995076078922,0.903031094752951,0.841805296219342
90,10.960581,4.4376187,1.33452884584044,1.02286222673293,0.906168076158113,0.844820646646161
90,10.960581,4.6535351,1.33611569845428,1.02399230500024,0.907397082240398,0.845996688902572
90,11.922885,2.505,1.33764212743379,1.02132715949886,0.896185942485657,0.835076370356207
90,16.835469,1.0645111,1.36534149570546,1.01910775310787,0.904132924566996,0.856510591145877
90,16.835469,2.505,1.39089087930818,1.04071129855137,0.925434601705444,0.877976666614219
90,16.835469,3.9454889,1.40162369464214,1.04977011773852,0.934197553107127,0.886716837603793
90,25.25,0.24408128,1.27922521432939,0.970206063360674,0.890227681737548,0.858007649185213
90,25.25,0.3564649,1.30142503840849,0.981867124846904,0.902466831136068,0.870625927006768
90,25.25,0.57238131,1.32065767111334,0.99428828767171,0.915528977654176,0.884069476285367
90,25.25,1.0645111,1.33705214080944,1.00767675989909,0.929532973388947,0.898411634689449
90,25.25,1.1615191,1.33854310753018,1.00932876678494,0.931250655534386,0.9001551296593
90,25.25,1.6567473,1.34571252670023,1.01552716408565,0.937729885123263,0.90673403895169
90,25.25,2.505,1.35256351315494,1.02181794044402,0.9442764556373,0.913308263518557
90,25.25,3.3532527,1.35650914994224,1.02573499596474,0.948314055381343,0.917312943326154
90,25.25,3.8484809,1.35856917699489,1.02744411536609,0.950061054443747,0.919033335595547
90,25.25,3.9454889,1.35889897888604,1.0277434032552,0.950366136542871,0.919333058532017
90,25.25,4.4376187,1.36033259596676,1.02911838741022,0.951764096053472,0.920702517267976
90,25.25,4.6535351,1.36092962563115,1.02965682016356,0.9523101275779,0.921234527854443
90,25.25,4.7659187,1.3614481661298,1.0299232966059,0.95258034857378,0.921496771307817
90,33.664531,1.0645111,1.27002218829856,0.999103264235891,0.941343308933235,0.919787991119471
90,33.664531,2.505,1.28152051701987,1.00989310172775,0.952444991186106,0.931082140082726
90,33.664531,3.9454889,1.28633185928843,1.01442159191783,0.957037171027623,0.935746261673824
90,38.577115,2.505,1.24240120268116,1.00351890776345,0.956152652964229,0.939453363300612
