"angle","gap","Re","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18"
38.038476,6.0787324,2.505,-0.00293313587317243,-0.00287428303342313,-0.00245077523961663,-0.00269917951337993,-0.00250097015453503,-0.00239027591142803,-0.00182575501967222,-0.000885604906827211,-0.00193702411092818,-0.00231228415109217,-0.00236423356831074,-0.00164701946265996,-0.000380232639610767,-0.000622216951102018,-0.00129394018277526,-0.00216676207631826,-0.00171604217503773,-0.0014723363853991
38.038476,6.0787324,3.9454889,-0.00321603121375665,-0.00319217935716733,-0.00262350312247872,-0.0028439337387681,-0.00260339174326509,-0.0025441105357022,-0.00187914273701608,-0.000901477563078515,-0.00196921353414655,-0.00235993369668722,-0.00242651450587437,-0.00173431251198053,-0.00043335181940347,-0.000710374189540744,-0.00130145952105522,-0.00218376135267317,-0.00175082370755263,-0.00150769095122814
38.038476,10.960581,0.57238131,-0.00240132710617036,-0.00236319968244061,-0.000676432105246931,-0.00106448949221522,-0.00190572963282466,-0.000684322942048311,-0.000661173969507217,-0.000444854739122093,-0.000752541517838836,-0.000757837697863579,-0.00142685092240572,-0.000817347887903451,-0.000427568390965462,-0.00077196441590786,-0.000565428757108748,-0.000569856511428952,-0.00024604787863791,-0.00072116157785058
38.038476,10.960581,1.0645111,-0.00248950112238526,-0.00272970653511584,-0.000798680670559406,-0.00123854277236387,-0.00211922696512192,-0.000849046222865581,-0.00074404220469296,-0.000498426236212254,-0.000863277275115251,-0.000897418685257436,-0.00159876669943333,-0.000920466221868992,-0.000480991587042809,-0.000849663257598877,-0.000653764451155439,-0.000677794650197029,-0.000327540477737784,-0.000816088505089283
38.038476,10.960581,2.505,-0.00290923103922978,-0.00315870423987508,-0.00103928901255131,-0.00141529315820662,-0.00232668211311102,-0.00109592682495713,-0.000842680476605892,-0.000536873506382107,-0.00100820902362466,-0.00107624968886375,-0.0017615479240194,-0.001023835349828,-0.000524030804634094,-0.000915536375716329,-0.000728687495924533,-0.00082628140039742,-0.000447069035843015,-0.00090038189291954
38.038476,10.960581,3.9454889,-0.00319506269763224,-0.00331092647463083,-0.00118845296092331,-0.00144869029801339,-0.00236701133288443,-0.00121522262692452,-0.000873551297932863,-0.000531378986081108,-0.0010711646899581,-0.00114818538352847,-0.00178827688191086,-0.00104088290780783,-0.000525060996413231,-0.000922994613647461,-0.000732127669267356,-0.000894966468214989,-0.000504015306010842,-0.000910603804513812
38.038476,10.960581,4.4376187,-0.0032663339683786,-0.00334445925988257,-0.00122727368399501,-0.00144998272508383,-0.00236927319690585,-0.0012456785403192,-0.00087869107350707,-0.000526981042232364,-0.00108558620139956,-0.00116306636482477,-0.0017891787532717,-0.00104135727137327,-0.00052289629355073,-0.000921795696020126,-0.000729011854156852,-0.000911030635237694,-0.000517429700121283,-0.000909622764214873
38.038476,16.835469,2.505,-0.00290290824929252,-0.00189823420159519,-0.000423679609782994,-0.00176009820494801,-0.00105927144456655,-0.00070984355174005,-0.000312539002392441,-0.000518031451851129,-0.000507710866630077,-0.00125800297595561,-0.00120820140466094,-0.000869110457599163,-2.95253521762789e-05,-0.000195256711915136,-0.000325388286262751,-0.00076813577581197,-0.000257287424057722,-0.000519939411431551
38.038476,25.25,0.3564649,-0.00240996586717665,-0.000775374554097652,8.55642728274687e-05,-0.00118186863698065,-0.000994529421674088,4.36682961881161e-05,-1.93732883781191e-05,0.000322261058725417,-0.000201993128284812,-0.000851777361705899,-0.000511858105659485,7.66128110699356e-05,-2.25104186683894e-05,-0.000507935116067528,-0.000190067898249254,5.13534434139734e-05,-0.000399986915290356,5.53707592189323e-06
38.038476,25.25,0.57238131,-0.00238863881211728,-0.000853597182780504,0.000111641423893161,-0.00129197906330228,-0.00108573524211533,2.76090390980244e-05,-1.81332658976317e-05,0.000338794542476535,-0.000234345873817801,-0.000930300021544099,-0.000559174038469791,6.06230655685067e-05,-2.4803252890706e-05,-0.000550668904557824,-0.000221953480504453,3.90062648802995e-05,-0.000440568897873163,-6.19690120220173e-06
